,name,link,name_clean,objectID
311,Honey syrup (3 honey to 1 water),https://diffordsguide.com/g/1109/honey-and-honey-syrup/honey-syrup,honey syrup 3 honey to 1 water,honey-syrup-3-honey-to-1-water
322,Del Maguey VIDA mezcal,https://diffordsguide.com/beer-wine-spirits/5018/del-maguey-vida-mezcal,del maguey vida mezcal,del-maguey-vida-mezcal
324,Bigallet Thym,https://diffordsguide.com/beer-wine-spirits/3606/bigallet-thym,bigallet thym,bigallet-thym
327,King's Ginger Liqueur,https://diffordsguide.com/beer-wine-spirits/47/kings-ginger-liqueur,kings ginger liqueur,kings-ginger-liqueur
332,Suze gentian liqueur,https://diffordsguide.com/beer-wine-spirits/4215/suze-gentian-liqueur,suze gentian liqueur,suze-gentian-liqueur
335,William pear liqueur,,william pear liqueur,william-pear-liqueur
339,Egg yolk,https://diffordsguide.com/encyclopedia/509/cocktails/egg-dos-and-donts-and-using-eggs-in-cocktails,egg yolk,egg-yolk
345,Mentzendorff Kummel Liqueur,https://diffordsguide.com/beer-wine-spirits/1548/mentzendorff-kummel-liqueur,mentzendorff kummel liqueur,mentzendorff-kummel-liqueur
347,Birch water,,birch water,birch-water
348,Small ripe strawberries (hulled),,small ripe strawberries hulled,small-ripe-strawberries-hulled
352,Soda from siphon,,soda from siphon,soda-from-siphon
358,Dubonnet Red,https://diffordsguide.com/beer-wine-spirits/856/dubonnet-red,dubonnet red,dubonnet-red
362,Prosecco sparkling wine,https://diffordsguide.com/beer-wine-spirits/1908/martini-prosecco-doc,prosecco sparkling wine,prosecco-sparkling-wine
366,Lavender sugar syrup,https://diffordsguide.com/beer-wine-spirits/3418/monin-lavender-sugar-syrup,lavender sugar syrup,lavender-sugar-syrup
368,Bob's Lavender Bitters,https://diffordsguide.com/beer-wine-spirits/5740/bobs-lavender-bitters,bobs lavender bitters,bobs-lavender-bitters
373,Giffard Sugar Cane Syrup (optional),https://diffordsguide.com/beer-wine-spirits/5991/giffard-sugar-cane-syrup,giffard sugar cane syrup optional,giffard-sugar-cane-syrup-optional
374,Raspberry flavoured vodka,,raspberry flavoured vodka,raspberry-flavoured-vodka
390,Island single malt Scotch whisky,https://diffordsguide.com/beer-wine-spirits/179/talisker-10-year-old,island single malt scotch whisky,island-single-malt-scotch-whisky
391,Falernum liqueur,https://diffordsguide.com/beer-wine-spirits/173/velvet-falernum,falernum liqueur,falernum-liqueur
393,Novo Fogo Silver cachaÃ§a,https://diffordsguide.com/beer-wine-spirits/391/novo-fogo-silver,novo fogo silver cachaa,novo-fogo-silver-cachaa
394,Aperol or other Italian red aperitivo,https://diffordsguide.com/beer-wine-spirits/70/aperol-aperitivo,aperol or other italian red aperitivo,aperol-or-other-italian-red-aperitivo
411,Lapsang souchong sugar syrup,,lapsang souchong sugar syrup,lapsang-souchong-sugar-syrup
415,Orange Bitters by Angostura (optional),https://diffordsguide.com/beer-wine-spirits/3505/angostura-orange-bitters,orange bitters by angostura optional,orange-bitters-by-angostura-optional
422,Giffard Vanille de Madagascar,https://diffordsguide.com/beer-wine-spirits/1680/giffard-vanille-de-madagascar,giffard vanille de madagascar,giffard-vanille-de-madagascar
426,Coffee liqueur,,coffee liqueur,coffee-liqueur
432,Giffard Parfait Amour liqueur,https://diffordsguide.com/beer-wine-spirits/2013/giffard-parfait-amour,giffard parfait amour liqueur,giffard-parfait-amour-liqueur
436,Honey sugar syrup,,honey sugar syrup,honey-sugar-syrup
441,Dutch White CrÃ¨me de Cacao,https://diffordsguide.com/beer-wine-spirits/6541/dutch-cacao-liqueur,dutch white crme de cacao,dutch-white-crme-de-cacao
442,PatrÃ³n AÃ±ejo tequila,https://diffordsguide.com/beer-wine-spirits/208/patron-anejo-tequila,patrn aejo tequila,patrn-aejo-tequila
447,Cinnamon sugar syrup,https://diffordsguide.com/beer-wine-spirits/5046/monin-cinnamon-syrup,cinnamon sugar syrup,cinnamon-sugar-syrup
448,Tea - strong white tea (cold),,tea  strong white tea cold,tea--strong-white-tea-cold
460,Pedro XimÃ©nez sherry,https://diffordsguide.com/beer-wine-spirits/217/noe-pedro-ximenez-sherry,pedro ximnez sherry,pedro-ximnez-sherry
472,Coconut water,,coconut water,coconut-water
476,*Special ingredient #1 (see above),,special ingredient 1 see above,special-ingredient-1-see-above
477,Vanilla sugar syrup,,vanilla sugar syrup,vanilla-sugar-syrup
478,Espresso coffee (freshly made & hot),,espresso coffee freshly made  hot,espresso-coffee-freshly-made--hot
479,Freshly grated nutmeg,,freshly grated nutmeg,freshly-grated-nutmeg
481,Drambuie liqueur,https://diffordsguide.com/beer-wine-spirits/109/drambuie-liqueur,drambuie liqueur,drambuie-liqueur
487,White overproof rum,https://diffordsguide.com/beer-wine-spirits/157/wray-and-nephew-white-overproof-rum,white overproof rum,white-overproof-rum
489,La Fee Absinthe Blanche,https://diffordsguide.com/beer-wine-spirits/2593/la-fee-absinthe-blanche,la fee absinthe blanche,la-fee-absinthe-blanche
491,Raspberry (framboise) sugar syrup,,raspberry framboise sugar syrup,raspberry-framboise-sugar-syrup
498,Agave syrup,,agave syrup,agave-syrup
503,Licor 43 Original,https://diffordsguide.com/beer-wine-spirits/1632/licor-43-original,licor 43 original,licor-43-original
508,Mango purÃ©e,,mango pure,mango-pure
520,Giffard Sugar Cane Syrup (2 sugar to 1 water),https://diffordsguide.com/beer-wine-spirits/5991/giffard-sugar-cane-syrup,giffard sugar cane syrup 2 sugar to 1 water,giffard-sugar-cane-syrup-2-sugar-to-1-water
527,Amontillado sherry,https://diffordsguide.com/beer-wine-spirits/5825/del-duque-amontillado-sherry,amontillado sherry,amontillado-sherry
552,"Red jalapeÃ±o/fresno chili (10,000 SHU) deseeded & chopped (fine sliced)",,red jalapeofresno chili 10000 shu deseeded  chopped fine sliced,red-jalapeofresno-chili-10000-shu-deseeded--chopped-fine-sliced
561,Passion fruit (fresh fruit),,passion fruit fresh fruit,passion-fruit-fresh-fruit
571,Pernod anise,https://diffordsguide.com/beer-wine-spirits/202/pernod-anise,pernod anise,pernod-anise
592,Thomas Henry Tonic Water,https://diffordsguide.com/beer-wine-spirits/368/thomas-henry-tonic-water,thomas henry tonic water,thomas-henry-tonic-water
594,Kirschwasser (cherry) eau-de-vie,https://diffordsguide.com/beer-wine-spirits/5741/g-miclo-kirsch-vieux-eau-de-vie,kirschwasser cherry eaudevie,kirschwasser-cherry-eaudevie
601,Giffard Menthe Pastille white crÃ¨me de menthe,https://diffordsguide.com/beer-wine-spirits/855/giffard-menthe-pastille,giffard menthe pastille white crme de menthe,giffard-menthe-pastille-white-crme-de-menthe
607,Pasteurised egg white (optional),https://diffordsguide.com/encyclopedia/509/cocktails/egg-dos-and-donts-and-using-eggs-in-cocktails,pasteurised egg white optional,pasteurised-egg-white-optional
608,Brut Champagne (chilled),https://diffordsguide.com/beer-wine-spirits/601/taittinger-brut-reserve-nv-champagne,brut champagne chilled,brut-champagne-chilled
609,Orange juice (freshly squeezed) (chilled),,orange juice freshly squeezed chilled,orange-juice-freshly-squeezed-chilled
613,BarSol Mosto Verde Italia Pisco,https://diffordsguide.com/beer-wine-spirits/5128/barsol-mosto-verde-italia-pisco,barsol mosto verde italia pisco,barsol-mosto-verde-italia-pisco
615,Amargo Chuncho bitters,,amargo chuncho bitters,amargo-chuncho-bitters
622,Punt E Mes or other full-bodied vermouth,,punt e mes or other fullbodied vermouth,punt-e-mes-or-other-fullbodied-vermouth
623,Ginger cordial (non-alcoholic),,ginger cordial nonalcoholic,ginger-cordial-nonalcoholic
643,Orange CuraÃ§ao liqueur,https://diffordsguide.com/beer-wine-spirits/734/pierre-ferrand-curacao,orange curaao liqueur,orange-curaao-liqueur
644,Demerara / dark Muscovado sugar syrup (2 sugar to 1 water),,demerara  dark muscovado sugar syrup 2 sugar to 1 water,demerara--dark-muscovado-sugar-syrup-2-sugar-to-1-water
648,CrÃ¨me de violette liqueur,https://diffordsguide.com/beer-wine-spirits/1638/benoit-serres-liqueur-de-la-violette,crme de violette liqueur,crme-de-violette-liqueur
659,Highland single malt scotch whisky,https://diffordsguide.com/beer-wine-spirits/6711/the-glenlivet-12-year-old,highland single malt scotch whisky,highland-single-malt-scotch-whisky
670,Cucumber flavoured vodka,,cucumber flavoured vodka,cucumber-flavoured-vodka
708,Breakfast tea (hot),,breakfast tea hot,breakfast-tea-hot
732,Physalis fruits,,physalis fruits,physalis-fruits
747,Salt,,salt,salt
760,Lillet Blanc,https://diffordsguide.com/beer-wine-spirits/286/lillet-blanc,lillet blanc,lillet-blanc
766,Black walnut bitters,,black walnut bitters,black-walnut-bitters
771,Bob's Abbotts Bitters,https://diffordsguide.com/beer-wine-spirits/5743/bobs-abbotts-bitters,bobs abbotts bitters,bobs-abbotts-bitters
777,Egg white,https://diffordsguide.com/encyclopedia/509/cocktails/egg-dos-and-donts-and-using-eggs-in-cocktails,egg white,egg-white
779,Speyside single malt Scotch whisky,,speyside single malt scotch whisky,speyside-single-malt-scotch-whisky
780,Cinnamon stick,,cinnamon stick,cinnamon-stick
781,Boiling water,,boiling water,boiling-water
784,Ketel One Oranje Vodka,https://diffordsguide.com/beer-wine-spirits/1121/ketel-one-oranje-vodka,ketel one oranje vodka,ketel-one-oranje-vodka
797,Orinoco bitters,,orinoco bitters,orinoco-bitters
805,Jasmine tea (cold),,jasmine tea cold,jasmine-tea-cold
808,Black Tears cacao & coffee spiced rum,https://diffordsguide.com/beer-wine-spirits/6456/black-tears-cacao-and-coffee-spiced-rum,black tears cacao  coffee spiced rum,black-tears-cacao--coffee-spiced-rum
812,Root beer,,root beer,root-beer
820,Bacardi Spiced,https://diffordsguide.com/beer-wine-spirits/6389/bacardi-spiced,bacardi spiced,bacardi-spiced
830,Xante Liqueur,https://diffordsguide.com/beer-wine-spirits/155/xante-liqueur,xante liqueur,xante-liqueur
